stimulus,db_rt,db_id
"""01",9.193546229,1
"""02",7.080359625,2
"""03",19.76001131,3
"""04",15.34665159,4
"""05",9.070352354,7
"""06",16.17625525,8
"""07",7.196303667,11
"""08",6.148957788,12
"""09",14.60267571,13
"""010",15.6033616,15
"""011",3.644968292,16
"""012",18.17029871,17
"""013",12.2039349,18
"""014",4.781222075,19
"""015",8.5575731,20
"""016",7.92925425,21
"""017",8.4692031,22
"""018",6.572463167,23
"""019",13.93897933,24
"""020",16.22775463,25
"""021",24.89880175,26
"""022",12.32852092,27
"""023",12.50134718,28
"""024",32.20669088,30
"""025",22.43915885,31
"""026",3.817064792,32
"""027",11.7322114,33
"""028",20.056265,34
"""029",5.621809542,35
"""030",10.50498517,39
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
